SWSN_ID,SWSN_Site,CSN_macro_group,Mean_Rooms,Size_Class,GH_Count,GK_Count,Dshp_Count,Biwall_Count,Triwall_Count,PubArch,EASTING,NORTHING
3117,Greasy Hill,Central San Juan Basin,6,1,1,0,0,0,0,1,780000,4000000
3118,Great Bend House A,Central San Juan Basin,23,1,1,0,0,0,0,1,730000,4000000
3119,Great Bend House B,Central San Juan Basin,12,1,1,0,0,0,0,1,730000,4000000
3120,Great Bend West,Central San Juan Basin,20,1,1,0,0,0,0,1,720000,4010000
3123,Greenlee,Central San Juan Basin,18,1,1,0,0,0,0,1,780000,3980000
3124,Grey Hill Spring,Central San Juan Basin,21,1,1,0,0,0,0,1,720000,3990000
3125,Grey Ridge,Chuska Slope,,,1,0,0,0,0,1,710000,3960000
3126,Guadalupe,Puerco River East,74,2,1,1,0,0,0,2,850000,3940000
3127,H Spear,Cibola,14,1,1,1,0,0,0,2,680000,3850000
3128,Halfway House,Central San Juan Basin,12,1,1,0,0,0,0,1,770000,4030000
3129,Hammond Canyon,Southeast Utah,,,1,0,0,0,0,1,610000,4170000
3130,Hampton,San Juan Foothills,,,0,1,0,0,0,1,680000,4160000
3131,Hartman Draw,San Juan Foothills,,,1,1,0,0,0,2,710000,4140000
3133,Haynie Ruin,San Juan Foothills,50,1,1,1,0,0,0,2,720000,4140000
3134,Haystack,Lobo Mesa,28,1,1,1,0,0,0,2,780000,3920000
3366,Haystack Great Kiva 2,Lobo Mesa,16,1,0,1,0,0,0,1,780000,3920000
3135,Hedley Ruin,San Juan Foothills,,,2,1,1,0,0,4+,670000,4170000
964,Hinkson Ranch,Cibola,16,1,1,1,0,0,0,2,680000,3850000
3136,Hogback,Middle San Juan,9,1,1,2,0,0,0,3,720000,4060000
728,Holmes Group,Middle San Juan,70,2,2,4,0,1,1,4+,750000,4090000
3138,Houck,Rio Puerco of the West,8,1,1,0,0,0,0,1,660000,3910000
3139,Hough's Great Kiva,Silver Creek,20,1,0,1,0,0,0,1,580000,3790000
3140,House Creek,San Juan Foothills,,,0,1,0,0,0,1,720000,4160000
3141,House of the Giant Midden,Central San Juan Basin,,,0,0,0,0,0,1,740000,4000000
3355,HST Great Kiva,Southeast Utah,5,1,0,1,0,0,0,1,590000,4140000
1103,Hubble Corner,Mariana Mesa/Quemado,130,2,1,1,0,0,0,2,740000,3820000
3144,Hurley Site,Lobo Mesa,25,1,1,1,0,0,0,2,750000,3950000
3145,Ida Jean,San Juan Foothills,50,1,1,1,0,0,0,2,720000,4140000
