"SWSN_ID","Site","Type","unapportioned","P800","P825","P850","P875","P900","P925","P950","P975","P1000","P1025","P1050","P1075","P1100","P1125","P1150","P1175","P1200","P1225","P1250","P1275"
"127","727","Morris 39","Chapin Gray","0","0","0","0","0.3766","0.2798","0.1956","0.1287","0.0193","0","0","0","0","0","0","0","0","0","0","0","0"
"128","727","Morris 39","Citadel Polychrome","0","0","0","0","0","0","0","0","0","0","0.0181","0.0945","0.1867","0.2527","0.2343","0.1488","0.0648","0","0","0","0"
"129","727","Morris 39","Corrugated Gray Ware, Undifferentiated","0","0","0","0","0.116","0.1447","0.1757","0.2075","0.2382","0.2663","0.2894","0.3057","0.3145","0.3145","0.3057","0.2894","0.2663","0.2382","0.2075","0.1757","0.1447"
"130","727","Morris 39","Cortez Black-on-white","0","0","0","0","4.515","12.0015","20.6262","26.2328","24.7053","17.2166","8.8835","1.8191","0","0","0","0","0","0","0","0","0"
"131","727","Morris 39","Deadmans (La Plata) Black-on-red","0","0","0","0","0.2113","0.5774","0.9889","1.2097","1.0575","0.6606","0.2947","0","0","0","0","0","0","0","0","0","0"
"132","727","Morris 39","Escavada Black-on-white","0","0","0","0","0","0","0","0","0","0.7119","1.7881","1.7881","0.7119","0","0","0","0","0","0","0","0"
"133","727","Morris 39","Gallup Black-on-white","0","0","0","0","0","0","0","0","0","0","0.2063","1.3394","2.4833","2.1283","0.8427","0","0","0","0","0","0"
"134","727","Morris 39","Kiatuthlanna Black-on-white","0","0","0","0","0.683","0.317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","727","Morris 39","Mancos Black-on-white","0","0","0","0","0","0","0","0","2.854","7.2013","12.3414","16.5564","17.3873","14.2944","9.1994","4.6343","0.5313","0","0","0","0"
"136","727","Morris 39","McElmo Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0.4571","1.4773","2.6589","3.746","4.1314","3.567","2.4108","1.2754","0.2762","0"
"137","727","Morris 39","Mesa Verde Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3869","1.281","1.5397","0.7372","0.0552"
"138","727","Morris 39","Naschitti Black-on-white","0","0","0","0","0","0.2848","0.7152","0.7152","0.2848","0","0","0","0","0","0","0","0","0","0","0","0"
"139","727","Morris 39","Neck Indented Corrugated Gray Ware, Type Undifferentiated","0","0","0","0","0","0","0","0.2407","0.5186","0.2407","0","0","0","0","0","0","0","0","0","0","0"
"140","727","Morris 39","Newcomb Black-on-white","0","0","0","0","0.2902","0.7213","0.977","0.7213","0.2902","0","0","0","0","0","0","0","0","0","0","0","0"
"141","727","Morris 39","PI White Ware, Type Undifferentiated","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","727","Morris 39","PII Gray Rim, Type Undifferentiated","0","0","0","0","0","0.1846","0.3849","0.6281","0.8024","0.8024","0.6281","0.3849","0.1846","0","0","0","0","0","0","0","0"
"143","727","Morris 39","PII White Ware, Type Undifferentiated","0","0","0","0","0","0.2308","0.4811","0.7851","1.0029","1.0029","0.7851","0.4811","0.2308","0","0","0","0","0","0","0","0"
"144","727","Morris 39","PII/PIII Gray Rim, Type Undifferentiated","0","0","0","0","0","0.0544","0.0841","0.1221","0.1666","0.2136","0.2574","0.2915","0.3102","0.3102","0.2915","0.2574","0.2136","0.1666","0.1221","0.0841","0.0544"
"145","727","Morris 39","PIII White Ware, Type Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6462","1.3472","2.1984","2.8083","2.8083","2.1984","1.3472","0.6462"
"146","727","Morris 39","Puerco Black-on-white","0","0","0","0","0","0","0","0","0","0","0.0423","0.1155","0.1978","0.2419","0.2115","0.1321","0.0589","0","0","0","0"
"147","727","Morris 39","Red Mesa Black-on-white","0","0","0","0","1.477","4.1565","7.0573","8.2096","6.5433","3.5729","0.9833","0","0","0","0","0","0","0","0","0","0"
"148","727","Morris 39","Red Ware type, Undifferentiated","0","0","0","0","0.2943","0.3318","0.3704","0.4093","0.4478","0.4851","0.5202","0.5524","0.5807","0.6043","0.6227","0.6353","0.6417","0.6417","0.6353","0.6227","0.6043"
"149","727","Morris 39","Showlow Red","0","0","0","0","0","0","0","0","0","0.4272","1.0728","1.0728","0.4272","0","0","0","0","0","0","0","0"
"150","727","Morris 39","Taylor Black-on-white","0","0","0","0","0","0","0","0","0","0.1424","0.3576","0.3576","0.1424","0","0","0","0","0","0","0","0"
"151","727","Morris 39","Toadlena Black-on-white","0","0","0","0","0","0","0","0","0.0717","0.169","0.2593","0.2593","0.169","0.0717","0","0","0","0","0","0","0"
"152","727","Morris 39","Tunicha Black-on-white","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","727","Morris 39","Type, Undifferentiated","0","0","0","0","185.3288","188.896","192.19","194.8668","197.2353","198.2679","198.9544","198.9544","198.2679","197.2353","194.8668","192.19","188.896","185.3288","180.586","175.6588","170.2766"
"154","727","Morris 39","White ware, Undifferentiated","0","0","0","0","40.0176","43.032","45.9605","48.8196","51.5013","54.1794","56.6104","58.8267","60.712","62.4836","63.87","64.9299","65.5571","66.0066","66.0066","65.5571","64.9299"
